ID gender age birth_order frequency vanilla strawberry milk_tea macadamia_nuts cookie chocolate melon coffee almond rum_raisin mint banana caramel walnut cassis chocolate_chips orange green_tea marron chocolate_mint adzuki-bean
1 2 20 2 5 7 7 8 3 9 9 6 8 3 2 1 7 9 3 3 9 7 8 8 1 7
2 2 21 2 1 7 8 9 9 9 9 2 7 7 9 5 4 7 8 9 9 4 7 7 8 9
3 2 21 3 2 7 4 3 3 6 4 7 7 6 3 3 4 6 3 3 6 7 3 7 3 3
4 2 21 4 3 9 6 6 5 8 6 8 9 6 5 4 4 9 5 4 8 9 1 2 1 3
5 2 21 4 2 9 5 7 5 6 8 4 4 4 6 9 6 6 6 5 9 6 6 6 9 1
6 2 21 2 5 5 7 5 5 5 7 5 8 5 8 9 5 9 5 8 8 9 9 5 9 1
7 2 21 2 2 9 7 6 3 7 9 4 6 5 2 2 6 7 5 5 9 9 3 5 2 3
8 2 20 2 4 7 7 6 8 7 6 5 8 7 5 6 5 6 7 9 5 6 8 5 6 8
9 2 21 2 4 7 7 4 8 7 7 4 7 6 3 5 5 7 7 6 8 6 3 3 7 3
10 2 22 4 4 5 5 9 5 8 8 5 6 3 3 3 8 7 2 8 8 6 6 2 1 1
11 2 22 2 3 8 1 8 9 7 9 3 9 4 7 4 4 9 7 6 6 7 8 6 4 5
12 2 21 4 3 9 4 7 5 8 4 5 7 5 6 9 4 4 5 8 9 5 6 4 9 7
13 2 21 4 4 7 7 6 8 8 9 6 7 7 6 6 5 9 7 5 9 7 7 6 8 8
14 2 20 4 2 9 6 4 6 9 9 3 6 8 9 4 6 7 8 4 9 9 8 9 7 8
15 2 20 2 4 8 7 5 5 5 9 4 5 4 3 9 4 4 6 5 8 6 9 4 9 5
16 2 21 4 2 7 4 7 4 7 3 3 7 5 3 6 6 6 6 6 4 6 8 5 7 7
17 2 20 2 2 6 4 2 2 7 6 4 5 5 8 3 4 6 6 5 7 5 9 6 9 6
18 2 20 3 2 8 7 5 5 6 8 3 5 6 3 7 3 5 4 5 7 9 8 4 9 4
19 2 21 4 6 5 9 8 5 7 5 5 5 9 4 7 6 6 7 7 8 7 9 5 8 5
20 2 20 4 2 6 6 6 8 8 6 1 5 7 8 4 5 7 7 7 7 6 7 7 8 8
21 2 21 4 3 9 9 6 6 8 7 7 9 6 6 3 7 6 5 9 9 9 9 7 4 8
22 2 21 1 4 7 9 9 7 9 8 3 1 6 1 3 8 8 8 5 8 6 7 8 4 8
23 2 21 2 4 8 8 9 8 8 8 6 6 6 9 4 5 8 8 4 9 8 9 5 5 8
24 2 20 4 4 7 7 6 5 4 7 4 5 5 8 9 9 9 3 7 7 3 5 9 9 9
