,HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
0,7,5,137.26,3.14,6.143,6.3,6.547,6.663,-7.429,7.758,-2.356,0.329,134.33,47.09,0.0057,0.0007,0.0038,0.0012,3721,O[C@H]1[C@@H]2C[P@](=O)(O[C@H]2[C@@H]([C@@H]([C@H]1O)O)O)O
1,6,3,113.87,0.57,4.03,5.893,6.113,6.53,-7.41,5.91,-1.345,-1.499,105.5,29.97,0.0004,0.0143,0.0097,0.0006,729,O=C[C@@H](COP(=O)(O)O)O
2,2,1,37.3,4.4,5.584,6.427,7.233,7.291,-7.214,7.502,2.432,0.288,49.27,42.34,0.002,0.0116,0.0004,0.0007,379,CCCCCCCC(=O)O
3,1,1,26.02,1.24,5.541,5.986,6.263,6.396,-6.133,7.984,2.614,1.85,103.79,46.59,0.0188,0.0106,0.0017,0.0212,2130,N[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3
4,3,1,46.17,1.27,3.225,3.431,4.037,4.957,-5.845,3.921,2.294,-1.924,88.34,60.5,0.0,0.2155,0.0077,0.0002,7332,CCC(=O)C(=O)Nc1ccc(cc1C)C
5,1,1,20.23,1.77,6.412,6.885,7.384,7.434,-6.925,8.596,0.921,1.671,15.3,25.2,0.018,0.0013,0.0018,0.0012,7298,OC1CCCC1
6,2,1,83.12,2.53,3.743,4.16,4.321,4.452,-7.875,4.936,1.816,-2.939,134.44,42.22,0.0001,0.0034,0.0078,0.0083,8497,OC(=O)c1cccc(c1)N(=O)=O
7,2,0,26.3,1.56,5.839,7.015,7.454,7.618,-7.268,7.742,1.35,0.473,-14.12,32.24,0.0006,0.0198,0.0323,0.0586,7762,CCCC(=O)OCC
8,0,0,0.0,0.06,7.592,7.747,7.771,7.81,-7.959,10.223,4.927,2.264,-30.55,59.8,0.0068,0.0063,0.0056,0.001,8182,CCCCCCCCCCCC
9,1,0,9.23,1.7,6.269,6.778,6.796,6.971,-6.572,8.906,0.797,2.335,-11.61,20.31,0.0128,0.0236,0.0014,0.0035,8028,C1CCCO1
10,3,1,57.25,4.97,3.48,3.547,4.198,4.457,-5.747,4.133,1.455,-1.614,103.24,32.81,0.0392,0.0,0.0001,0.2807,1570,S=c1ccccn1O
11,3,0,43.37,3.84,5.071,5.566,6.574,6.938,-7.461,6.716,0.096,-0.746,8.6,22.83,0.0019,0.0001,0.0,0.018,7918,CC(=O)OC(=O)C
12,3,1,46.17,3.73,3.494,4.139,4.734,5.074,-6.482,4.836,1.776,-1.646,94.03,41.72,0.0004,0.0866,0.0454,0.0896,400,O/C=N/c1ccccc1C=O
