Student	50mRun	longjump	handball	chinning	sidestep	vertump	back	grip	backward	forward	stepping
1	8.3	315	15	2	35	40	79	15.5	39	12	79.6
2	7.9	393	20	0	39	49	90	19	50	11	71.4
3	10.1	240	12	0	33	31	88	21	45	11	47.4
4	9.3	305	11	0	37	37	74	23.5	50	5	56.6
5	8.6	330	17	1	45	53	89	22.5	45	12	85.7
6	8.8	340	16	0	31	43	79	23.5	49	1	68.2
7	8.1	383	15	0	43	40	62	24	52	5	54.5
8	8.7	334	16	0	38	58	89	23.5	56	10	57.3
9	8.2	397	21	5	41	44	128	26	44	6	63.9
10	8.2	380	24	0	40	48	96	25	65	1	72
11	8.1	390	23	1	41	52	120	26.5	60	9	51.4
12	8.5	360	18	4	44	43	110	27.5	63	9	58.4
13	9.5	283	13	0	32	37	87	25	54	2	60
14	7.9	363	18	5	41	50	89	31	63	1	69.2
15	9.6	280	15	1	30	51	105	26	40	8	56.6
16	7.6	440	22	2	45	52	108	27	31	5	63.8
17	8.6	335	20	0	43	47	87	26.5	43	9	73.8
18	8.7	315	19	0	41	42	87	26.5	57	8	59.6
19	8.1	367	14	0	40	53	107	27	52	-1	69.2
20	7.7	345	14	0	38	52	119	30.5	52	17	51.7
21	8.2	360	13	0	33	46	89	30	52	3	52.3
22	7.7	433	20	10	49	47	128	31	54	6	77.6
23	8.1	385	23	2	36	54	85	28.5	59	10	60.8
24	7.9	397	23	3	38	58	116	29	56	9	70.3
25	8.2	365	19	1	41	45	110	29.5	38	3	67.7
26	8.7	318	8	1	34	47	90	28	50	17	51.4
27	8.9	376	18	0	40	57	120	32.25	57	4	46.1
28	7.6	430	19	1	50	60	90	30.5	40	2	53.6
29	7.9	386	21	2	41	49	128	26.5	50	12	76.3
30	8.1	375	12	0	41	48	83	29	44	7	56.6
31	8.2	395	20	2	40	46	108	31.5	45	10	112.5
32	7.6	420	24	2	41	46	110	33	50	6	76.9
33	7.5	428	23	4	36	52	134	30	55	5	57.7
34	8.2	365	23	0	45	53	100	30	68	20	56.3
35	8.2	377	19	5	41	57	130	31	54	17	93.8
36	8.7	343	18	2	39	44	129	32	53	14	69.2
37	7.2	443	22	12	44	57	132	33.5	50	22	58.4
38	7.5	408	20	6	43	67	131	33	54	3	61.2
39	8	377	25	9	44	55	146	33.5	59	14	54.2
40	7.8	400	24	3	43	59	140	30.5	55	9	81.2
41	7.4	418	23	5	46	61	116	33	45	8	70.9
42	7.8	358	24	0	45	49	95	30	40	0	70.3
43	8.1	420	28	2	52	60	130	32.5	50	16	78.9
44	7.9	360	21	0	43	47	135	31	50	5	52.9
45	8.4	360	22	1	43	50	130	32	50	11	68.2
46	7.9	400	18	3	43	51	105	33.5	44	7	71.4
47	7.5	429	21	16	44	70	148	34	35	18	102.2
48	7.3	450	22	14	41	55	145	35	50	6	60
49	7.5	440	21	9	47	49	112	36	58	15	70.9
50	7.8	375	21	2	42	56	155	35.5	65	20	65.2
51	7.2	467	24	9	37	56	129	40	53	6	68.2
52	7.9	418	18	3	40	59	120	38	52	9	57.7
53	7.8	405	24	3	45	56	130	37.5	42	9	74.4
54	8.3	325	21	0	39	51	140	37	55	6	45
55	8	394	23	10	44	56	170	37	65	21	76.9
56	7.5	398	16	5	42	56	109	34.5	45	17	68.7
57	8	388	15	1	46	63	129	36.5	38	10	71.4
58	7.6	405	21	1	40	62	94	35.5	57	4	76.9
59	7.5	432	24	1	46	54	170	35	45	-11	58.8
60	7.7	465	30	4	48	63	130	36	70	23	76.9
61	7.9	385	20	0	39	47	91	35	56	17	72.6
62	7.5	445	20	4	41	67	107	36.5	47	-4	61.6
63	7.7	390	20	7	45	54	120	36.5	52	11	66.2
64	7.1	503	22	10	40	68	128	35.5	40	0	58.8
65	7.6	424	22	5	41	58	136	37	45	7	73.8
66	8	427	27	1	46	54	120	36	60	16	56.3
67	7.8	457	22	2	46	54	144	34.5	67	21	50.3
68	7.7	434	22	2	39	53	128	36	50	9	76.3
69	7.6	460	21	3	48	63	100	36.5	61	17	79.6
70	7.4	485	21	7	44	65	160	37.5	57	12	66.7
71	7.3	485	22	9	46	62	137	38	55	16	62.5
72	7.5	457	24	3	48	56	105	35.5	53	9	77.6
73	7.6	444	24	1	45	60	124	38	52	13	76.9
74	7.7	359	24	5	43	55	136	38.5	55	17	62.5
75	7.9	412	25	8	46	56	145	37.5	50	19	78.3
76	9.6	299	15	0	31	33	155	35.5	51	21	48.1
77	7.3	472	29	3	44	62	125	38	50	13	66.7
78	7.3	470	20	5	42	65	110	39	51	10	61.2
79	7.2	417	19	7	44	57	130	37.5	56	10	70.3
80	7.4	443	26	5	37	65	168	38	50	7	76.3
81	6.9	543	31	17	47	59	151	40	36	1	54.2
82	7.6	510	27	4	37	43	135	40.5	69	8	59.2
83	8.2	450	24	0	42	50	130	41	60	14	70.3
84	7.5	395	24	3	46	61	115	37	62	10	63.8
85	7.6	397	21	13	44	64	120	43	53	10	86.5
86	7.6	452	28	1	44	64	121	40.5	40	13	88.2
87	7.1	461	23	5	40	75	110	36.5	54	18	61.6
88	7.9	490	29	12	44	64	181	39.5	70	22	50.3
89	8.1	385	24	1	42	60	142	41.5	55	7	72
90	7.2	480	21	6	42	57	127	42	55	3	55.9
91	7.4	492	23	3	46	70	140	38	40	5	66.7
92	7.4	470	24	3	46	64	95	43	45	18	57.3
93	7.7	440	23	0	43	58	153	43.5	55	12	64.3
94	7.2	527	27	10	48	64	120	42.5	52	2	58.4
95	7.3	468	26	12	44	59	172	42.5	40	3	60
96	7.4	448	25	8	47	66	138	42.5	61	10	59.6
97	7.9	407	22	1	39	54	130	45.5	45	2	58.4
98	7.2	314	22	5	33	73	110	44	43	2	64.3
99	7.9	439	25	8	44	52	144	40	50	10	61.2
100	7.9	335	22	2	47	56	135	46.5	65	16.5	52
101	7.4	494	32	1	47	55	153	46.5	68	14	80.4
102	8.5	345	23	1	46	55	137	45.5	68	12	50
103	7.5	425	17	7	33	48	135	49	60	12	69.2
104	8.1	333	32	2	39	60	236	56	50	7	53.6
